Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%)
Intel(R) Wi-Fi 6 AX201 160MHz - 22.80.1.1,1710143,5073,6911,1787,1722127,Intel(R) Wi-Fi 6 AX201 160MHz,22.80.1.1,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 22.230.0.8,2066397,5312,10006,3487,2081715,Intel(R) Wi-Fi 6 AX201 160MHz,22.230.0.8,99.3
Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.1.2,360044,1663,995,846,362702,Intel(R) Wi-Fi 6E AX211 160MHz,22.250.1.2,99.3
Intel(R) Wi-Fi 6 AX200 160MHz - 21.110.1.1,223919,1106,444,407,225469,Intel(R) Wi-Fi 6 AX200 160MHz,21.110.1.1,99.3
Killer Wi-Fi 6 AX500-DBS Wireless Network Adapter - 1.0.0.1769,28416,209,1,57,28626,Killer Wi-Fi 6 AX500-DBS Wireless Network Adapter,1.0.0.1769,99.3
Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.10.1,1483939,4220,5536,2849,1493695,Intel(R) Wi-Fi 6E AX211 160MHz,22.250.10.1,99.3
Intel(R) Dual Band Wireless-AC 8265 - 22.160.0.4,1377957,5359,3820,1552,1387136,Intel(R) Dual Band Wireless-AC 8265,22.160.0.4,99.3
Intel(R) Wi-Fi 6E AX211 160MHz - 22.160.0.4,20966,56,87,67,21109,Intel(R) Wi-Fi 6E AX211 160MHz,22.160.0.4,99.3
Intel(R) Wireless-AC 9560 160MHz - 22.250.0.4,1679893,7728,2272,2398,1689893,Intel(R) Wireless-AC 9560 160MHz,22.250.0.4,99.4
Intel(R) Dual Band Wireless-AC 8265 - 20.70.3.3,1122750,4143,2337,1507,1129230,Intel(R) Dual Band Wireless-AC 8265,20.70.3.3,99.4
Intel(R) Dual Band Wireless-AC 8265 - 20.70.21.2,1510279,4677,3835,2139,1518791,Intel(R) Dual Band Wireless-AC 8265,20.70.21.2,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.1.2,367117,1982,304,625,369403,Intel(R) Wi-Fi 6 AX200 160MHz,22.250.1.2,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 22.200.2.1,733422,2128,2400,884,737950,Intel(R) Wi-Fi 6 AX200 160MHz,22.200.2.1,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.0.4,687612,2711,1470,692,691793,Intel(R) Wi-Fi 6 AX200 160MHz,22.250.0.4,99.4
Intel(R) Wi-Fi 6E AX211 160MHz - 22.200.0.6,10156,44,15,23,10215,Intel(R) Wi-Fi 6E AX211 160MHz,22.200.0.6,99.4
Intel(R) Wireless-AC 9560 160MHz - 22.170.0.3,331255,1627,538,557,333420,Intel(R) Wireless-AC 9560 160MHz,22.170.0.3,99.4
Intel(R) Dual Band Wireless-AC 7265 - 19.10.0.9,16633,0,100,26,16733,Intel(R) Dual Band Wireless-AC 7265,19.10.0.9,99.4
Intel(R) Dual Band Wireless-AC 7260 - 18.33.16.2,196587,1139,146,295,197872,Intel(R) Dual Band Wireless-AC 7260,18.33.16.2,99.4
Intel(R) Dual Band Wireless-AC 7260 - 17.15.0.5,491311,2775,328,601,494414,Intel(R) Dual Band Wireless-AC 7260,17.15.0.5,99.4
Intel(R) Wi-Fi 6 AX201 160MHz - 23.50.0.6,1238771,5687,1911,1726,1246369,Intel(R) Wi-Fi 6 AX201 160MHz,23.50.0.6,99.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.240.0.6,1744886,8130,3231,3432,1756247,Intel(R) Wi-Fi 6 AX201 160MHz,22.240.0.6,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 23.90.0.2,7407071,35741,10503,7117,7453315,Intel(R) Wi-Fi 6 AX200 160MHz,23.90.0.2,99.4
Intel(R) Wi-Fi 6 AX201 160MHz - 21.110.2.1,41812,203,63,98,42078,Intel(R) Wi-Fi 6 AX201 160MHz,21.110.2.1,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 22.40.0.7,668944,1790,2101,1141,672835,Intel(R) Wi-Fi 6 AX200 160MHz,22.40.0.7,99.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.0.3,877392,2991,2650,1365,883033,Intel(R) Wi-Fi 6 AX201 160MHz,22.100.0.3,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 22.170.0.3,303753,1114,418,662,305285,Intel(R) Wi-Fi 6 AX200 160MHz,22.170.0.3,99.5
Intel(R) Wi-Fi 6 AX200 160MHz - 21.50.1.1,32805,148,10,56,32963,Intel(R) Wi-Fi 6 AX200 160MHz,21.50.1.1,99.5
Intel(R) Wireless-AC 9560 160MHz - 22.250.1.2,2475123,9716,2308,2976,2487147,Intel(R) Wireless-AC 9560 160MHz,22.250.1.2,99.5
Intel(R) Wi-Fi 6E AX211 160MHz - 23.40.0.4,687097,1955,1469,1811,690521,Intel(R) Wi-Fi 6E AX211 160MHz,23.40.0.4,99.5
Intel(R) Wi-Fi 6E AX211 160MHz - 23.50.0.6,797091,2097,2257,1713,801445,Intel(R) Wi-Fi 6E AX211 160MHz,23.50.0.6,99.5
Intel(R) Dual Band Wireless-AC 8265 - 22.110.0.2,2355508,8923,2195,2799,2366626,Intel(R) Dual Band Wireless-AC 8265,22.110.0.2,99.5
